Order Date,Region,State,Category,Segment,Sales,Profit,Quantity,Discount,Shipping Mode
2022-01-05,West,Texas,Furniture,Corporate,147.13,16.7,4,0.27,Same Day
2022-05-23,South,Washington,Office Supplies,Home Office,910.35,202.88,5,0.2,Same Day
2022-05-01,Central,Washington,Office Supplies,Home Office,992.54,307.02,8,0.16,Standard Class
2023-01-06,South,Washington,Furniture,Corporate,148.51,34.73,5,0.23,Same Day
2022-10-04,West,Ohio,Technology,Corporate,284.09,74.1,7,0.16,First Class
2023-04-09,South,Texas,Furniture,Consumer,835.87,188.75,1,0.1,Second Class
2022-10-09,West,New York,Furniture,Home Office,655.95,205.62,6,0.02,Second Class
2022-07-04,Central,Ohio,Technology,Consumer,356.48,62.29,1,0.27,Same Day
2022-11-09,East,Illinois,Office Supplies,Home Office,977.38,292.85,3,0.05,First Class
2023-05-09,South,Georgia,Technology,Consumer,571.05,44.98,1,0.19,First Class
2022-02-01,South,New York,Furniture,Home Office,92.72,6.98,9,0.08,Same Day
2023-02-24,East,Florida,Technology,Consumer,804.21,246.68,10,0.07,First Class
2023-11-15,West,California,Technology,Corporate,177.36,38.46,1,0.15,Second Class
2022-11-16,Central,Ohio,Technology,Consumer,663.49,84.68,7,0.25,First Class
2022-03-30,South,New York,Office Supplies,Consumer,565.16,147.17,10,0.24,Second Class
2022-07-03,South,Florida,Office Supplies,Home Office,545.71,190.87,9,0.04,Second Class
2023-06-11,East,New York,Office Supplies,Consumer,872.03,84.64,2,0.12,First Class
2022-01-27,South,Washington,Furniture,Home Office,429.97,44.31,1,0.15,Second Class
2023-12-07,West,California,Furniture,Corporate,375.51,113.59,4,0.3,Standard Class
2023-05-11,Central,New York,Office Supplies,Home Office,458.06,91.56,2,0.02,Same Day
2023-11-27,East,New York,Technology,Home Office,964.82,243.61,6,0.09,First Class
2022-03-11,East,California,Furniture,Corporate,881.56,237.28,2,0.14,First Class
2022-05-23,Central,New York,Office Supplies,Corporate,334.94,67.66,10,0.24,First Class
2023-10-23,East,California,Office Supplies,Home Office,504.6,79.76,4,0.14,First Class
2022-01-13,Central,Texas,Office Supplies,Home Office,579.36,35.56,9,0.09,Same Day
2022-06-23,Central,New York,Office Supplies,Consumer,71.13,21.64,6,0.12,Second Class
2022-07-23,Central,Illinois,Furniture,Home Office,566.77,193.03,8,0.22,Same Day
2022-04-15,Central,Illinois,Furniture,Consumer,585.47,141.65,1,0.25,First Class
2022-12-25,West,Texas,Office Supplies,Home Office,482.81,80.06,3,0.28,Same Day
2023-06-19,West,New York,Furniture,Home Office,161.26,40.6,3,0.28,Second Class
2022-06-24,South,Illinois,Furniture,Home Office,974.58,80.0,3,0.04,First Class
2023-07-29,East,California,Furniture,Home Office,793.84,277.11,7,0.26,Standard Class
2022-09-11,East,Georgia,Office Supplies,Corporate,609.39,73.52,2,0.07,Same Day
2023-05-31,Central,Ohio,Technology,Consumer,95.12,16.63,10,0.25,Same Day
2022-03-18,West,Washington,Technology,Corporate,71.74,22.64,4,0.21,Same Day
2023-09-29,South,Illinois,Office Supplies,Corporate,404.19,104.18,2,0.0,Second Class
2022-05-16,South,Florida,Technology,Corporate,379.17,78.81,2,0.26,Standard Class
2023-02-26,Central,Georgia,Technology,Home Office,387.7,115.9,5,0.04,First Class
2022-05-03,East,New York,Technology,Consumer,279.86,78.26,7,0.1,Second Class
2022-11-17,Central,Georgia,Technology,Home Office,559.59,66.63,6,0.16,Standard Class
2022-01-01,Central,Georgia,Office Supplies,Corporate,441.17,145.86,4,0.23,Standard Class
2023-02-06,East,California,Furniture,Corporate,634.34,95.74,1,0.23,Same Day
2023-10-31,East,Washington,Office Supplies,Corporate,765.69,232.55,10,0.21,Standard Class
2023-06-16,East,Florida,Furniture,Home Office,200.14,57.62,7,0.2,Same Day
2022-10-12,West,Ohio,Office Supplies,Corporate,968.46,268.1,9,0.29,Standard Class
2023-05-21,South,California,Office Supplies,Consumer,466.89,31.31,8,0.21,Standard Class
2022-06-15,South,Ohio,Furniture,Corporate,574.5,185.47,6,0.14,Standard Class
2022-10-17,Central,Washington,Technology,Home Office,720.67,109.37,8,0.04,Standard Class
2022-06-25,West,California,Furniture,Home Office,198.42,30.07,7,0.27,Standard Class
2023-03-28,Central,New York,Furniture,Corporate,496.36,55.51,3,0.07,Same Day
2022-06-20,South,Georgia,Technology,Consumer,884.72,191.28,5,0.22,First Class
2022-02-26,West,Florida,Office Supplies,Home Office,858.11,92.9,3,0.06,First Class
2022-07-09,West,Florida,Furniture,Consumer,961.97,335.77,3,0.13,First Class
2023-12-18,South,Georgia,Furniture,Consumer,183.53,47.81,5,0.12,First Class
2022-01-03,West,New York,Furniture,Consumer,660.44,106.64,4,0.14,Second Class
2023-05-01,West,California,Technology,Home Office,61.97,12.01,5,0.01,Standard Class
2022-11-17,West,Illinois,Technology,Home Office,426.99,86.8,7,0.2,First Class
2022-04-27,South,Georgia,Technology,Consumer,899.26,75.53,7,0.15,Same Day
2022-01-06,South,Illinois,Technology,Corporate,176.26,26.08,7,0.07,Same Day
2023-02-26,Central,Illinois,Technology,Corporate,545.76,54.44,2,0.2,Second Class
2022-12-06,South,New York,Office Supplies,Home Office,541.97,128.94,3,0.22,First Class
2023-04-14,Central,Washington,Technology,Home Office,88.79,5.68,10,0.05,Second Class
2023-07-22,Central,Florida,Office Supplies,Consumer,592.27,119.1,2,0.05,First Class
2022-09-09,West,New York,Technology,Consumer,169.68,32.84,10,0.16,Second Class
2022-07-06,East,Ohio,Office Supplies,Home Office,483.85,31.33,4,0.13,Second Class
2023-02-07,South,Florida,Technology,Consumer,441.0,34.6,4,0.23,Same Day
2023-11-14,South,Ohio,Furniture,Consumer,664.73,94.68,9,0.03,Second Class
2022-12-20,East,New York,Office Supplies,Corporate,834.29,77.62,8,0.06,Standard Class
2023-08-07,Central,California,Furniture,Consumer,624.83,178.0,1,0.15,Standard Class
2023-09-15,Central,California,Office Supplies,Consumer,711.28,192.39,9,0.09,Standard Class
2023-04-23,South,Georgia,Office Supplies,Home Office,645.6,195.94,4,0.1,Standard Class
2022-10-04,Central,Ohio,Furniture,Corporate,366.62,44.05,9,0.19,Same Day
2022-01-07,South,Florida,Furniture,Corporate,159.22,15.33,4,0.12,First Class
2022-02-25,West,California,Furniture,Consumer,62.35,7.87,10,0.2,Standard Class
2022-12-24,West,Florida,Office Supplies,Consumer,68.82,8.53,1,0.16,Standard Class
2022-08-09,East,Illinois,Office Supplies,Consumer,755.12,146.42,3,0.13,Second Class
2022-02-23,Central,California,Office Supplies,Home Office,193.41,65.37,6,0.21,Same Day
2023-11-22,West,New York,Furniture,Corporate,729.45,62.13,8,0.06,Same Day
2022-09-22,Central,Illinois,Technology,Corporate,338.25,51.3,2,0.23,Same Day
2023-05-17,West,Florida,Furniture,Home Office,639.36,175.88,10,0.01,First Class
2022-09-01,West,Ohio,Furniture,Home Office,327.52,47.6,8,0.25,Same Day
2022-02-03,East,Illinois,Technology,Consumer,489.8,55.65,3,0.16,First Class
2022-01-24,East,California,Technology,Home Office,535.87,160.9,3,0.21,Same Day
2023-10-31,South,Ohio,Office Supplies,Consumer,317.78,70.76,1,0.16,Same Day
2023-04-27,East,Georgia,Furniture,Consumer,640.81,74.57,9,0.09,Second Class
2022-03-29,West,California,Technology,Home Office,170.63,37.75,10,0.0,Standard Class
2023-03-22,South,Texas,Office Supplies,Consumer,704.34,144.95,3,0.07,Same Day
2022-10-14,South,Illinois,Office Supplies,Consumer,940.71,192.05,9,0.21,Second Class
2022-08-27,West,Washington,Office Supplies,Corporate,137.61,29.4,6,0.2,Second Class
2023-12-10,West,Texas,Office Supplies,Consumer,282.91,91.93,8,0.25,Standard Class
2023-09-25,West,Georgia,Technology,Consumer,587.67,130.3,2,0.29,Second Class
2022-02-02,West,Illinois,Furniture,Consumer,273.65,71.42,8,0.24,Second Class
2023-11-09,South,Illinois,Furniture,Consumer,145.6,23.02,7,0.27,Second Class
2023-10-02,South,Georgia,Technology,Home Office,221.03,64.78,6,0.09,First Class
2022-10-09,South,Georgia,Office Supplies,Corporate,438.95,133.55,1,0.18,Second Class
2023-04-11,Central,California,Office Supplies,Corporate,669.76,81.01,10,0.28,First Class
2023-04-08,West,Ohio,Furniture,Consumer,747.7,246.96,10,0.3,First Class
2023-01-14,West,Ohio,Furniture,Corporate,872.55,292.95,5,0.01,First Class
2022-01-23,Central,New York,Furniture,Home Office,634.96,131.12,5,0.05,Second Class
2022-02-17,West,Washington,Technology,Home Office,310.06,86.89,8,0.04,Second Class
2023-04-02,Central,Illinois,Technology,Corporate,243.52,30.43,2,0.11,Same Day
2023-01-23,South,Georgia,Office Supplies,Home Office,958.81,129.79,8,0.08,Second Class
2022-09-01,South,California,Furniture,Home Office,878.93,181.76,7,0.03,Standard Class
2023-06-26,Central,Washington,Office Supplies,Home Office,135.95,22.53,10,0.28,First Class
2022-06-21,West,California,Technology,Consumer,684.65,130.23,6,0.18,Same Day
2022-10-14,East,Illinois,Furniture,Home Office,412.64,138.75,9,0.03,Second Class
2022-05-22,Central,Florida,Office Supplies,Home Office,750.89,235.88,4,0.25,Standard Class
2022-03-21,South,Illinois,Office Supplies,Home Office,548.24,66.03,1,0.2,Standard Class
2022-03-25,South,Florida,Office Supplies,Home Office,463.88,50.84,1,0.04,Same Day
2022-10-16,South,Ohio,Office Supplies,Home Office,707.15,157.16,8,0.19,Second Class
2023-12-02,South,Ohio,Technology,Corporate,608.69,94.17,8,0.13,First Class
2023-05-25,Central,Washington,Office Supplies,Home Office,527.87,26.89,6,0.19,Second Class
2023-03-13,South,Illinois,Technology,Corporate,135.05,41.23,7,0.02,Same Day
2022-05-25,South,Washington,Office Supplies,Home Office,322.51,98.69,10,0.23,First Class
2023-05-18,East,Illinois,Furniture,Consumer,501.15,157.83,7,0.13,Second Class
2023-01-28,West,Washington,Technology,Home Office,292.89,16.27,4,0.06,Same Day
2022-04-17,East,Ohio,Technology,Corporate,429.24,84.94,10,0.22,Second Class
2022-09-12,West,Ohio,Technology,Corporate,753.67,191.2,6,0.21,Second Class
2022-01-22,South,New York,Furniture,Home Office,685.14,167.33,7,0.22,First Class
2023-02-19,West,California,Office Supplies,Consumer,891.42,204.83,9,0.13,Second Class
2022-05-28,West,Texas,Technology,Consumer,481.11,62.22,9,0.2,Second Class
2022-01-12,South,New York,Furniture,Corporate,327.3,55.5,10,0.24,First Class
2022-04-12,South,New York,Office Supplies,Home Office,297.85,99.87,8,0.18,Same Day
2022-10-21,Central,Texas,Office Supplies,Corporate,627.28,142.66,6,0.02,Same Day
2022-10-16,East,California,Technology,Corporate,950.68,115.59,10,0.22,Second Class
2023-10-13,East,Washington,Office Supplies,Corporate,466.27,29.84,3,0.15,First Class
2023-01-03,West,Ohio,Office Supplies,Corporate,636.51,209.33,2,0.06,Same Day
2022-02-15,East,New York,Technology,Home Office,312.06,21.66,9,0.1,Second Class
2023-01-16,East,Ohio,Furniture,Consumer,899.79,193.06,7,0.25,First Class
2022-06-12,East,Washington,Furniture,Corporate,237.39,25.11,8,0.06,Standard Class
2023-09-17,South,Texas,Technology,Corporate,875.91,239.02,4,0.08,Second Class
2023-07-20,Central,Texas,Office Supplies,Consumer,682.11,165.62,8,0.23,Second Class
2022-03-16,West,Florida,Furniture,Corporate,160.63,18.08,7,0.18,Second Class
2023-08-16,East,California,Technology,Corporate,994.4,130.47,6,0.04,Second Class
2022-02-09,West,Florida,Office Supplies,Corporate,717.46,156.24,10,0.17,Second Class
2023-07-03,East,Florida,Technology,Home Office,565.75,116.33,4,0.13,Same Day
2022-11-18,Central,New York,Furniture,Consumer,616.17,78.08,10,0.14,Same Day
2023-08-13,West,Illinois,Technology,Consumer,635.69,95.21,5,0.08,Second Class
2022-09-23,South,Illinois,Office Supplies,Consumer,887.98,281.1,5,0.18,Second Class
2023-12-30,South,Illinois,Office Supplies,Consumer,526.82,81.2,7,0.04,Second Class
2022-06-29,Central,New York,Office Supplies,Consumer,227.32,46.77,3,0.23,Second Class
2023-11-17,Central,Georgia,Technology,Home Office,154.2,12.8,1,0.23,Second Class
2023-05-28,Central,Illinois,Office Supplies,Corporate,308.86,103.77,6,0.16,Standard Class
2023-06-21,West,Washington,Office Supplies,Home Office,991.81,55.15,6,0.01,Same Day
2023-05-15,South,Texas,Technology,Home Office,378.99,93.86,6,0.18,Second Class
2022-02-02,East,Washington,Furniture,Corporate,894.14,155.6,8,0.1,Same Day
2022-08-19,West,Georgia,Office Supplies,Home Office,496.08,154.08,4,0.29,First Class
2023-02-21,East,Ohio,Furniture,Home Office,110.88,33.49,5,0.08,First Class
2022-01-31,East,Florida,Technology,Corporate,993.91,171.38,6,0.25,First Class
2022-10-07,South,Florida,Technology,Corporate,659.78,51.43,9,0.02,First Class
2022-01-19,Central,Ohio,Technology,Home Office,751.35,111.12,2,0.18,Same Day
2023-11-11,East,California,Office Supplies,Corporate,239.94,35.77,2,0.26,First Class
2023-10-10,Central,Washington,Technology,Consumer,122.22,36.86,10,0.03,Second Class
2022-07-12,East,Florida,Furniture,Corporate,244.26,56.97,1,0.21,Same Day
2023-06-23,East,Texas,Furniture,Corporate,93.05,4.82,9,0.28,Second Class
2022-03-08,South,Washington,Furniture,Corporate,739.06,88.09,9,0.08,Same Day
2023-12-10,South,Washington,Furniture,Consumer,435.43,120.01,6,0.28,Standard Class
2023-09-13,West,Florida,Technology,Consumer,521.39,57.79,4,0.29,First Class
2022-09-19,Central,Illinois,Furniture,Home Office,903.41,229.73,5,0.14,Same Day
2022-04-16,East,Washington,Technology,Consumer,994.75,181.58,7,0.02,Second Class
2022-11-16,South,Texas,Furniture,Corporate,987.36,70.11,4,0.1,Second Class
2023-02-08,East,Georgia,Technology,Consumer,213.33,39.77,3,0.17,Second Class
2023-12-21,East,Florida,Office Supplies,Corporate,414.18,52.91,3,0.06,Standard Class
2023-04-09,East,Illinois,Office Supplies,Home Office,318.92,31.76,7,0.26,Same Day
2022-03-05,South,Texas,Furniture,Consumer,536.55,52.75,1,0.27,First Class
2022-09-01,East,New York,Furniture,Home Office,215.17,62.63,8,0.17,Same Day
2023-05-15,South,Ohio,Technology,Corporate,815.51,150.23,7,0.02,Second Class
2022-04-22,Central,Illinois,Furniture,Corporate,212.52,50.97,2,0.19,Standard Class
2022-04-23,West,California,Office Supplies,Consumer,214.78,15.76,10,0.3,Standard Class
2022-06-24,South,New York,Furniture,Home Office,804.23,274.86,3,0.01,Standard Class
2023-05-11,West,California,Furniture,Consumer,262.28,34.1,9,0.25,First Class
2022-04-28,East,Georgia,Technology,Corporate,731.18,205.2,2,0.07,Standard Class
2022-12-04,West,Washington,Office Supplies,Consumer,665.47,223.67,8,0.16,First Class
2023-10-19,Central,Georgia,Office Supplies,Consumer,822.21,164.7,9,0.12,Second Class
